             x                y                z         azimuth        dip        iRx
   4444.48633      -898.076172       790.000000       30.0000000               0         139
   4617.69141      -798.076172       790.000000       30.0000000               0         140
   4790.89648      -698.076172       790.000000       30.0000000               0         141
   4964.10156      -598.076172       790.000000       30.0000000               0         142
   5137.30664      -498.076172       790.000000       30.0000000               0         143
   5310.51172      -398.076172       790.000000       30.0000000               0         144
   5483.71680      -298.076172       790.000000       30.0000000               0         145
   5656.92188      -198.076172       790.000000       30.0000000               0         146
   5830.12695      -98.0761719       790.000000       30.0000000               0         147
   6003.33203       1.92382812       790.000000       30.0000000               0         148
   6176.53711       101.923828       790.000000       30.0000000               0         149
   6349.74219       201.923828       790.000000       30.0000000               0         150
   6522.94727       301.923828       790.000000       30.0000000               0         151
   6696.15234       401.923828       790.000000       30.0000000               0         152
   6869.35742       501.923828       790.000000       30.0000000               0         153
   7042.56250       601.923828       790.000000       30.0000000               0         154
   7215.76758       701.923828       790.000000       30.0000000               0         155
   7388.97266       801.923828       790.000000       30.0000000               0         156
   7562.17773       901.923828       790.000000       30.0000000               0         157
   7735.38281       1001.92383       790.000000       30.0000000               0         158
   7908.58789       1101.92383       790.000000       30.0000000               0         159
   8081.79297       1201.92383       790.000000       30.0000000               0         160
   8254.99805       1301.92383       790.000000       30.0000000               0         161
   8428.20312       1401.92383       790.000000       30.0000000               0         162
  -6928.20312      -4000.00000       790.000000       30.0000000               0         163
  -6754.99805      -3900.00000       790.000000       30.0000000               0         164
  -6581.79297      -3800.00000       790.000000       30.0000000               0         165
  -6408.58789      -3700.00000       790.000000       30.0000000               0         166
  -6235.38281      -3600.00000       790.000000       30.0000000               0         167
  -6062.17773      -3500.00000       790.000000       30.0000000               0         168
  -5888.97266      -3400.00000       790.000000       30.0000000               0         169
  -5715.76758      -3300.00000       790.000000       30.0000000               0         170
  -5542.56250      -3200.00000       790.000000       30.0000000               0         171
  -5369.35742      -3100.00000       790.000000       30.0000000               0         172
  -5196.15234      -3000.00000       790.000000       30.0000000               0         173
  -5022.94727      -2900.00000       790.000000       30.0000000               0         174
  -4849.74219      -2800.00000       790.000000       30.0000000               0         175
  -4676.53711      -2700.00000       790.000000       30.0000000               0         176
  -4503.33203      -2600.00000       790.000000       30.0000000               0         177
  -4330.12695      -2500.00000       790.000000       30.0000000               0         178
  -4156.92188      -2400.00000       790.000000       30.0000000               0         179
  -3983.71680      -2300.00000       790.000000       30.0000000               0         180
  -3810.51172      -2200.00000       790.000000       30.0000000               0         181
  -3637.30664      -2100.00000       790.000000       30.0000000               0         182
  -3464.10156      -2000.00000       790.000000       30.0000000               0         183
  -3290.89648      -1900.00000       790.000000       30.0000000               0         184
  -3117.69141      -1800.00000       790.000000       30.0000000               0         185
  -2944.48633      -1700.00000       790.000000       30.0000000               0         186
  -2771.28125      -1600.00000       790.000000       30.0000000               0         187
  -2598.07617      -1500.00000       790.000000       30.0000000               0         188
  -2424.87109      -1400.00000       790.000000       30.0000000               0         189
  -2251.66602      -1300.00000       790.000000       30.0000000               0         190
  -2078.46094      -1200.00000       790.000000       30.0000000               0         191
  -1905.25586      -1100.00000       790.000000       30.0000000               0         192
  -1732.05078      -1000.00000       790.000000       30.0000000               0         193
  -1558.84570      -900.000000       790.000000       30.0000000               0         194
  -1385.64062      -800.000000       790.000000       30.0000000               0         195
  -1212.43555      -700.000000       790.000000       30.0000000               0         196
  -1039.23047      -600.000000       790.000000       30.0000000               0         197
  -866.025391      -500.000000       790.000000       30.0000000               0         198
  -692.820312      -400.000000       790.000000       30.0000000               0         199
  -519.615234      -300.000000       790.000000       30.0000000               0         200
  -346.410156      -200.000000       790.000000       30.0000000               0         201
  -173.205078      -100.000000       790.000000       30.0000000               0         202
   0.00000000       0.00000000       790.000000       30.0000000               0         203
   173.205078       100.000000       790.000000       30.0000000               0         204
   346.410156       200.000000       790.000000       30.0000000               0         205
   519.615234       300.000000       790.000000       30.0000000               0         206
   692.820312       400.000000       790.000000       30.0000000               0         207
   866.025391       500.000000       790.000000       30.0000000               0         208
   1039.23047       600.000000       790.000000       30.0000000               0         209
   1212.43555       700.000000       790.000000       30.0000000               0         210
   1385.64062       800.000000       790.000000       30.0000000               0         211
   1558.84570       900.000000       790.000000       30.0000000               0         212
   1732.05078       1000.00000       790.000000       30.0000000               0         213
   1905.25586       1100.00000       790.000000       30.0000000               0         214
   2078.46094       1200.00000       790.000000       30.0000000               0         215
   2251.66602       1300.00000       790.000000       30.0000000               0         216
   2424.87109       1400.00000       790.000000       30.0000000               0         217
   2598.07617       1500.00000       790.000000       30.0000000               0         218
   2771.28125       1600.00000       790.000000       30.0000000               0         219
