iTx iRx chrec frequency/Hz Real{E/H} Imag{E/H}
1 81 Ey 0.25 1.834493e-18 1.828989e-17
1 82 Ey 0.25 -8.567558e-20 1.590866e-17
1 83 Ey 0.25 -1.739330e-18 1.359249e-17
1 84 Ey 0.25 -3.037639e-18 1.136309e-17
1 85 Ey 0.25 -4.032353e-18 9.461904e-18
1 86 Ey 0.25 -4.771255e-18 7.837267e-18
1 87 Ey 0.25 -5.281899e-18 6.445834e-18
1 88 Ey 0.25 -5.612563e-18 5.238283e-18
1 89 Ey 0.25 -5.784190e-18 4.083193e-18
1 90 Ey 0.25 -5.778458e-18 2.986609e-18
1 91 Ey 0.25 -5.641888e-18 1.973531e-18
1 92 Ey 0.25 -5.166023e-18 1.177001e-18
1 93 Ey 0.25 -4.690158e-18 3.804721e-19
1 94 Ey 0.25 -3.999818e-18 -1.975481e-19
1 95 Ey 0.25 -3.302873e-18 -7.688398e-19
1 96 Ey 0.25 -2.518499e-18 -1.214782e-18
1 97 Ey 0.25 -1.660352e-18 -1.554955e-18
1 98 Ey 0.25 -8.022043e-19 -1.895128e-18
1 99 Ey 0.25 1.415063e-19 -2.132407e-18
1 100 Ey 0.25 1.086186e-18 -2.368520e-18
1 101 Ey 0.25 1.927013e-18 -2.553604e-18
1 1 Hx 0.25 -9.102328e-14 6.182195e-14
1 2 Hx 0.25 -1.001692e-13 7.498152e-14
1 3 Hx 0.25 -1.098102e-13 8.973323e-14
1 4 Hx 0.25 -1.194707e-13 1.045675e-13
1 5 Hx 0.25 -1.308556e-13 1.266869e-13
1 6 Hx 0.25 -1.422404e-13 1.488064e-13
1 7 Hx 0.25 -1.543169e-13 1.755557e-13
1 8 Hx 0.25 -1.672130e-13 2.077920e-13
1 9 Hx 0.25 -1.801396e-13 2.404368e-13
1 10 Hx 0.25 -1.940560e-13 2.863446e-13
1 11 Hx 0.25 -2.079725e-13 3.322524e-13
1 12 Hx 0.25 -2.221075e-13 3.912833e-13
1 13 Hx 0.25 -2.363269e-13 4.553748e-13
1 14 Hx 0.25 -2.501016e-13 5.321601e-13
1 15 Hx 0.25 -2.634777e-13 6.203279e-13
1 16 Hx 0.25 -2.758945e-13 7.224618e-13
1 17 Hx 0.25 -2.870949e-13 8.423079e-13
1 18 Hx 0.25 -2.965750e-13 9.812563e-13
1 19 Hx 0.25 -3.040134e-13 1.142875e-12
1 20 Hx 0.25 -3.084783e-13 1.336027e-12
1 21 Hx 0.25 -3.107130e-13 1.552828e-12
1 22 Hx 0.25 -3.078185e-13 1.827171e-12
1 23 Hx 0.25 -3.029442e-13 2.125283e-12
1 24 Hx 0.25 -2.915447e-13 2.516149e-12
1 25 Hx 0.25 -2.773064e-13 2.969638e-12
1 26 Hx 0.25 -2.596424e-13 3.498697e-12
1 27 Hx 0.25 -2.382874e-13 4.205040e-12
1 28 Hx 0.25 -2.159629e-13 5.052916e-12
1 29 Hx 0.25 -1.928045e-13 6.076639e-12
1 30 Hx 0.25 -1.683542e-13 7.482309e-12
1 31 Hx 0.25 -1.355645e-13 9.319889e-12
1 32 Hx 0.25 -7.807216e-14 1.172528e-11
1 33 Hx 0.25 3.929900e-14 1.493516e-11
1 34 Hx 0.25 2.923627e-13 1.930989e-11
1 35 Hx 0.25 8.424405e-13 2.539943e-11
1 36 Hx 0.25 2.020375e-12 3.403452e-11
1 37 Hx 0.25 4.473168e-12 4.644553e-11
1 38 Hx 0.25 9.406058e-12 6.440969e-11
1 39 Hx 0.25 1.896605e-11 9.042454e-11
1 40 Hx 0.25 3.683349e-11 1.279039e-10
1 41 Hx 0.25 6.912374e-11 1.813927e-10
1 42 Hx 0.25 1.294854e-10 2.594834e-10
1 43 Hx 0.25 2.432188e-10 3.740971e-10
1 44 Hx 0.25 4.552460e-10 5.395492e-10
1 45 Hx 0.25 8.562924e-10 7.788751e-10
1 46 Hx 0.25 1.700218e-09 1.138291e-09
1 47 Hx 0.25 3.590577e-09 1.680373e-09
1 48 Hx 0.25 8.725466e-09 2.549044e-09
1 49 Hx 0.25 2.604578e-08 4.022009e-09
1 50 Hx 0.25 1.245322e-07 6.694922e-09
1 51 Hx 0.25 7.495638e-09 -2.294147e-10
1 52 Hx 0.25 -1.191055e-07 -6.727666e-09
1 53 Hx 0.25 -2.572980e-08 -4.052514e-09
1 54 Hx 0.25 -8.688890e-09 -2.562049e-09
1 55 Hx 0.25 -3.596534e-09 -1.685579e-09
1 56 Hx 0.25 -1.713546e-09 -1.140957e-09
1 57 Hx 0.25 -8.690388e-10 -7.810069e-10
1 58 Hx 0.25 -4.653904e-10 -5.417805e-10
1 59 Hx 0.25 -2.506346e-10 -3.764617e-10
1 60 Hx 0.25 -1.345349e-10 -2.618437e-10
1 61 Hx 0.25 -7.233514e-11 -1.835792e-10
1 62 Hx 0.25 -3.869812e-11 -1.297972e-10
1 63 Hx 0.25 -1.987566e-11 -9.196947e-11
1 64 Hx 0.25 -9.678615e-12 -6.559769e-11
1 65 Hx 0.25 -4.351582e-12 -4.730316e-11
1 66 Hx 0.25 -1.678366e-12 -3.460839e-11
1 67 Hx 0.25 -3.976331e-13 -2.574440e-11
1 68 Hx 0.25 1.813511e-13 -1.947929e-11
1 69 Hx 0.25 4.204322e-13 -1.497531e-11
1 70 Hx 0.25 5.006803e-13 -1.167404e-11
1 71 Hx 0.25 5.104106e-13 -9.206523e-12
1 72 Hx 0.25 4.920098e-13 -7.328914e-12
1 73 Hx 0.25 4.661401e-13 -5.900753e-12
1 74 Hx 0.25 4.444405e-13 -4.870015e-12
