iTx iRx chrec frequency/Hz Real{E/H} Imag{E/H}
1 57 Ey 0.25 3.001022e-14 1.775688e-14
1 58 Ey 0.25 1.483194e-14 1.112680e-14
1 59 Ey 0.25 7.582165e-15 7.091785e-15
1 60 Ey 0.25 3.992648e-15 4.594647e-15
1 61 Ey 0.25 2.168743e-15 3.016751e-15
1 62 Ey 0.25 1.221331e-15 2.013586e-15
1 63 Ey 0.25 6.968393e-16 1.347781e-15
1 64 Ey 0.25 4.086578e-16 9.089429e-16
1 65 Ey 0.25 2.489957e-16 6.202998e-16
1 66 Ey 0.25 1.626482e-16 4.329067e-16
1 67 Ey 0.25 1.125967e-16 3.091270e-16
1 68 Ey 0.25 8.172275e-17 2.263585e-16
1 69 Ey 0.25 6.198879e-17 1.704018e-16
1 70 Ey 0.25 4.771824e-17 1.312045e-16
1 71 Ey 0.25 3.661648e-17 1.029720e-16
1 72 Ey 0.25 2.767586e-17 8.222167e-17
1 73 Ey 0.25 2.047017e-17 6.702203e-17
1 74 Ey 0.25 1.489332e-17 5.641729e-17
1 75 Ey 0.25 9.878713e-18 4.750334e-17
1 76 Ey 0.25 5.345988e-18 3.991026e-17
1 77 Ey 0.25 1.884044e-18 3.405468e-17
1 78 Ey 0.25 -1.133914e-18 2.886910e-17
1 79 Ey 0.25 -3.783953e-18 2.423872e-17
1 80 Ey 0.25 -5.757217e-18 2.049038e-17
1 81 Ey 0.25 -7.546313e-18 1.696987e-17
1 82 Ey 0.25 -8.877807e-18 1.400289e-17
1 83 Ey 0.25 -9.900938e-18 1.134013e-17
1 84 Ey 0.25 -1.051293e-17 9.082988e-18
1 85 Ey 0.25 -1.089951e-17 7.072598e-18
1 86 Ey 0.25 -1.109615e-17 5.270125e-18
1 87 Ey 0.25 -1.108133e-17 3.692435e-18
1 88 Ey 0.25 -1.089977e-17 2.291985e-18
1 89 Ey 0.25 -1.059103e-17 9.977244e-19
1 90 Ey 0.25 -1.014046e-17 -1.781128e-19
1 91 Ey 0.25 -9.549610e-18 -1.234116e-18
1 92 Ey 0.25 -8.594982e-18 -1.979363e-18
1 93 Ey 0.25 -7.640355e-18 -2.724609e-18
1 94 Ey 0.25 -6.519172e-18 -3.214865e-18
1 95 Ey 0.25 -5.392861e-18 -3.697269e-18
1 96 Ey 0.25 -4.165064e-18 -4.045945e-18
1 97 Ey 0.25 -2.851634e-18 -4.281781e-18
1 98 Ey 0.25 -1.538204e-18 -4.517618e-18
1 99 Ey 0.25 -2.136201e-19 -4.601682e-18
1 100 Ey 0.25 1.111090e-18 -4.684026e-18
1 101 Ey 0.25 2.252830e-18 -4.689761e-18
1 1 Hx 0.25 -7.721308e-14 4.130278e-14
1 2 Hx 0.25 -8.617748e-14 5.051047e-14
1 3 Hx 0.25 -9.570173e-14 6.092846e-14
1 4 Hx 0.25 -1.052550e-13 7.141517e-14
1 5 Hx 0.25 -1.173651e-13 8.796554e-14
1 6 Hx 0.25 -1.294752e-13 1.045159e-13
1 7 Hx 0.25 -1.428474e-13 1.250923e-13
1 8 Hx 0.25 -1.577154e-13 1.504399e-13
1 9 Hx 0.25 -1.726657e-13 1.761554e-13
1 10 Hx 0.25 -1.902880e-13 2.138172e-13
1 11 Hx 0.25 -2.079103e-13 2.514789e-13
1 12 Hx 0.25 -2.275398e-13 3.012752e-13
1 13 Hx 0.25 -2.479434e-13 3.557509e-13
1 14 Hx 0.25 -2.694969e-13 4.222680e-13
1 15 Hx 0.25 -2.920814e-13 4.995825e-13
1 16 Hx 0.25 -3.154204e-13 5.904397e-13
1 17 Hx 0.25 -3.397165e-13 6.984723e-13
1 18 Hx 0.25 -3.644406e-13 8.253909e-13
1 19 Hx 0.25 -3.896729e-13 9.747232e-13
1 20 Hx 0.25 -4.153089e-13 1.155670e-12
1 21 Hx 0.25 -4.412477e-13 1.360329e-12
1 22 Hx 0.25 -4.670418e-13 1.623600e-12
1 23 Hx 0.25 -4.927979e-13 1.911161e-12
1 24 Hx 0.25 -5.185954e-13 2.294192e-12
1 25 Hx 0.25 -5.449387e-13 2.742105e-12
1 26 Hx 0.25 -5.719407e-13 3.268315e-12
1 27 Hx 0.25 -6.020382e-13 3.978949e-12
1 28 Hx 0.25 -6.346915e-13 4.836929e-12
